SERVICE_ID,BLOCK_ID,PULLOUTTIME,PULLINTIME
4,21802,12360,93840
4,21803,30840,73560
4,21901,17700,93180
4,22001,13980,93540
4,22101,16500,89940
4,22102,16920,90660
4,22301,15120,91560
4,22401,15300,90000
4,22402,18540,92700
4,22403,18780,71700
4,22404,34500,91200
4,22601,15900,89520
4,22701,16080,89520
4,22702,17460,91200
4,22703,18780,78840
4,22704,32880,94800
4,22705,35580,71820
4,22801,13320,90180
4,22802,14220,91620
4,22901,16980,89220
4,22902,16080,88620
4,22903,18780,92220
4,22904,20580,69420
4,22905,35580,92820
4,23001,16980,89580
4,23002,15180,73800
4,23003,15300,91200
4,23004,33780,94800
4,23005,35100,72540
4,23101,16980,90660
4,23102,17820,67020
4,23103,33420,89820
4,23201,15660,71820
4,23202,16800,70560
4,23203,32460,90900
4,23204,33600,92220
4,23301,12900,75180
4,23302,16500,70980
4,23303,34860,91800
4,23304,36300,93600
4,23401,15720,46860
4,23402,16020,45480
4,23403,32520,66060
4,23421,42120,75660
4,23422,42480,74820
4,23451,61320,92220
4,23501,16080,46980
4,23502,32880,63780
4,23551,44880,70860
4,23552,61680,91260
4,23601,16080,44580
4,23602,16620,34260
4,23603,32880,64680
4,23621,40320,62280
4,23622,30720,63060
4,23651,59280,91620
4,23652,58920,91860
4,23653,61680,91980
4,23701,16080,85380
4,23702,14400,92880
4,23703,19680,70980
4,23704,37680,88980
4,23801,15600,90840
4,23802,16260,94440
4,23803,17100,72660
4,23804,32400,93060
4,23901,15180,91380
4,23902,18360,87780
4,23903,18960,91380
4,23904,34920,67260
4,23905,38340,89940
4,24101,15720,45420
4,24102,18240,43020
4,24103,19320,50220
4,24104,32520,64620
4,24105,35040,71700
4,24121,44640,64740
4,24122,42240,73980
4,24123,49440,62220
4,24151,61320,92100
4,24152,61440,90780
4,24153,63840,94380
4,24201,16020,91260
4,24202,31080,69180
4,24301,17400,91740
4,24401,15600,83160
4,24402,17100,88980
4,24501,15600,71640
4,24502,16020,91260
4,24503,32820,92040
4,24701,16020,92520
4,24702,15300,70200
4,24703,26820,74940
4,24704,37620,91740
4,24901,15000,90840
4,24902,17100,91020
4,25001,15600,71880
4,25002,15300,72060
4,25003,32400,92340
4,25004,32100,92160
4,25101,16020,91380
4,88301,33660,68040
4,88302,33960,68760
4,88401,33660,67680
4,88402,33960,68880
11,60001,13710,92070
11,60002,10800,86970
11,60003,15600,83070
11,60004,13080,91410
11,60005,17400,90210
11,60006,14880,88620
11,60007,22800,90270
11,60008,19080,94020
11,60141,12300,89460
11,60142,12750,80970
11,60143,14280,85470
11,60144,14580,90420
11,60145,16380,81870
11,60146,17280,92910
11,60147,18180,93870
11,60148,19380,92220
11,60149,21780,91110
11,60261,12120,84690
11,60262,14070,92910
11,60263,13920,91110
11,60264,15870,84570
11,60265,15570,80910
11,60266,17670,92490
11,60267,18120,90690
11,60268,18840,94290
11,60269,21300,89310
11,60381,9990,82290
11,60382,12390,86010
11,60383,13650,81960
11,60384,14190,87210
11,60385,22770,86520
11,60386,16710,89910
11,60387,19680,84510
11,60388,21450,94620
11,60389,22600,92040
11,60390,20370,73800
11,60391,15990,82140
11,62031,18540,88080
11,62032,19620,86460
11,66101,17640,88020
11,66102,21240,91620
11,66103,19020,89220
11,66401,15000,88500
11,66402,18600,92100
11,66403,22200,84900
19,60001,13710,92070
19,60002,10800,86820
19,60003,15600,83070
19,60004,13080,91410
19,60005,17400,90210
19,60006,14880,88620
19,60007,22800,90270
19,60008,19080,94020
19,60141,12300,89460
19,60142,12780,80970
19,60143,14280,85470
19,60144,14610,90420
19,60145,16410,81870
19,60146,17280,92910
19,60147,18210,93870
19,60148,19380,92220
19,60149,21810,91110
19,60261,12120,84690
19,60262,14070,92910
19,60263,13920,91110
19,60264,15870,84570
19,60265,15570,80910
19,60266,17670,92490
19,60267,18120,90690
19,60268,18840,94290
19,60269,21300,89310
19,60381,9990,89910
19,60382,12390,82290
19,60383,14190,83460
19,60384,15990,84510
19,60385,17790,87210
19,60386,19680,93510
19,60387,18570,84420
19,60388,13650,94620
19,60389,20370,86520
19,60390,21450,82620
19,62031,18540,88080
19,62032,19620,86460
19,66101,17640,88020
19,66102,21240,91620
19,66103,19020,89220
19,66401,15000,88500
19,66402,18600,92100
19,66403,22200,84900
